Specification of reservoir parameters			
"Subasin-ID, water_storage_capacity[m**3], dam_height [m], spillway_discharge[m**3/s]"			
467	1121	"3,59"	"13,84"
468	5348	"4,71"	"24,49"
469	3570	"4,39"	"35,25"
470	4323	"4,54"	"19,48"
471	4048	"4,49"	"16,38"
472	5012	"4,65"	"14,81"
473	1009	"3,53"	"9,72"
474	545	"3,17"	"6,58"
475	3186	"4,3"	"11,04"
476	159	"2,56"	"6,02"
477	239	"2,75"	"8,7"
478	267	"2,81"	"10,77"
479	810	"3,4"	"4,3"
480	122	"2,45"	"7,64"
481	6375	"4,85"	"9,61"
482	598	"3,23"	"8,4"
483	8951	"5,14"	"22,07"
484	5753	"4,77"	"31,96"
485	700	"3,31"	"14,19"
486	7127	"4,94"	"6,67"
487	2644	"4,17"	"9,62"
488	9857	"5,23"	"32,71"
489	5815	"4,77"	"19,85"
490	5205	"4,68"	"16,5"
491	246	"2,77"	"6,88"
492	544	"3,17"	"6,23"
493	5674	"4,75"	"13,76"
494	2772	"4,2"	"13,48"
495	5147	"4,67"	"16,08"
496	4536	"4,57"	"11,11"
497	2981	"4,25"	"14,55"
498	3943	"4,46"	"12,39"
499	3579	"4,39"	"19,57"
500	1301	"3,69"	"10,68"
501	141	"2,51"	"6,39"
502	1866	"3,92"	"6,2"
503	794	"3,39"	"7,42"
504	1174	"3,62"	"7,78"
505	1897	"3,94"	"18,77"
506	5939	"4,79"	"12,16"
507	670	"3,29"	"9,02"
508	1812	"3,9"	"10,56"
509	3071	"4,28"	"7,55"
510	1738	"3,88"	"8,61"
511	102	"2,38"	"4,26"
512	1604	"3,82"	"9,3"
513	115	"2,43"	"4,24"
514	2847	"4,22"	"11,62"
515	2604	"4,16"	"8,28"
516	917	"3,47"	"9,77"
517	1691	"3,86"	"9,51"
518	126	"2,47"	"5,56"
519	385	"2,99"	"5,4"
520	172	"2,6"	"8,22"
521	626	"3,25"	"11,09"
522	626	"3,25"	"6,66"
523	3277	"4,32"	"13,12"
524	1497	"3,78"	"12,29"
525	614	"3,24"	"14,32"
526	863	"3,44"	"2,96"
527	695	"3,31"	"5,88"
528	3524	"4,38"	"23,15"
529	4352	"4,54"	"10,49"
530	922	"3,48"	"6,28"
531	2361	"4,09"	"13,73"
532	1313	"3,69"	"18,25"
533	5995	"4,8"	"21,94"
534	9002	"5,15"	"10,05"
535	6237	"4,83"	"21,82"
536	235	"2,74"	"6,91"
537	1542	"3,8"	"12,4"
538	2515	"4,13"	"20,72"
539	4765	"4,61"	"12,31"
540	4262	"4,53"	"17,41"
541	1795	"3,9"	"15,14"
542	5957	"4,79"	"12,35"
543	3502	"4,37"	"17,82"
544	2465	"4,12"	"8,19"
545	1853	"3,92"	"8,15"
546	17454	"5,77"	"17,29"
547	7091	"4,94"	"21,73"
548	529	"3,16"	"8,65"
549	2609	"4,16"	"13,94"
550	2154	"4,02"	"10,01"
551	1699	"3,86"	"13,38"
552	2797	"4,21"	"10,99"
553	1422	"3,74"	"12,07"
554	1737	"3,88"	"7,14"
555	5162	"4,68"	"22,65"
556	4471	"4,56"	"14,3"
557	4349	"4,54"	"14,43"
558	1806	"3,9"	"16,85"
559	4003	"4,48"	"16,36"
560	3414	"4,36"	"14,37"
561	3484	"4,37"	"8,14"
562	1817	"3,91"	"11,57"
563	4371	"4,54"	"15,54"
564	1865	"3,92"	16
565	4294	"4,53"	"31,4"
566	447	"3,07"	"7,42"
567	586	"3,21"	"6,92"
568	3104	"4,28"	"16,22"
569	849	"3,43"	"8,7"
570	388	"2,99"	"5,14"
571	1951	"3,95"	"14,2"
572	6679	"4,89"	"18,37"
573	5965	"4,8"	"24,44"
574	2314	"4,07"	"9,87"
575	1272	"3,67"	"8,62"
576	2443	"4,11"	"9,71"
577	8672	"5,11"	"25,78"
578	1274	"3,67"	"16,68"
579	1150	"3,61"	"12,35"
580	6451	"4,86"	"14,39"
581	1340	"3,71"	"9,73"
582	252	"2,78"	"9,24"
583	2654	"4,17"	"22,03"
584	2408	"4,1"	"15,54"
585	3732	"4,42"	"12,81"
586	1129	"3,6"	"6,96"
587	1438	"3,75"	"18,56"
588	1542	"3,8"	"22,09"
589	3064	"4,27"	"14,67"
590	1454	"3,76"	"13,47"
591	1740	"3,88"	"12,29"
592	2584	"4,15"	"16,63"
593	12008	"5,41"	"7,65"
594	456	"3,08"	"4,77"
595	1377	"3,72"	"15,02"
596	811	"3,4"	"10,11"
597	1399	"3,73"	"23,05"
598	613	"3,24"	"8,64"
599	1093	"3,58"	"8,36"
600	3772	"4,43"	"15,92"
601	2220	"4,04"	"13,75"
602	3771	"4,43"	"13,3"
603	11168	"5,34"	"14,71"
604	6208	"4,83"	"8,82"
605	1091	"3,58"	"6,97"
606	1651	"3,84"	"15,32"
607	748	"3,35"	"7,79"
608	2614	"4,16"	"13,69"
609	1562	"3,81"	"8,57"
610	7976	"5,04"	"22,63"
611	489	"3,12"	"11,39"
612	3419	"4,36"	"11,15"
613	190	"2,65"	"6,12"
614	5239	"4,69"	"11,79"
615	984	"3,51"	"4,99"
616	574	"3,2"	"19,84"
617	1677	"3,85"	"28,66"
618	1450	"3,76"	"11,64"
619	364	"2,96"	"8,42"
620	402	"3,01"	"4,84"
621	648	"3,27"	"7,38"
622	966	"3,5"	"8,53"
623	324	"2,9"	"5,65"
624	729	"3,34"	"4,89"
625	293	"2,85"	"5,53"
626	486	"3,11"	"14,41"
627	3824	"4,44"	"11,9"
628	3650	"4,41"	"13,96"
629	3229	"4,31"	"18,51"
630	2679	"4,18"	"13,27"
631	2281	"4,06"	"10,66"
632	14082	"5,56"	"23,01"
